Dataset,silhouette_score,davies_bouldin_score,calinski_harabasz_score,adjusted_rand_score,Running_Time(s)
cluto-t7-10k.csv,0.2191557392103957,1.9807466376710252,4094.49460557635,0.222871433459034,2.22
segment.csv,0.12883834987877252,2.454228732569336,412.9344997069608,0.355381067671688,0.14
twodiamonds.csv,0.2368957817456545,1.6512277074103359,504.19038973301565,0.08792079850107448,0.02
fourty.csv,0.2846926667033057,1.1090033766750578,700.8394358244857,0.23588052650089633,0.03
disk-6000n.csv,0.341281607215015,0.8424415694701709,5370.316528988406,0.07761973232853507,0.73
wine.csv,-0.08665176876930167,3.4319708914251605,8.532688557452788,0.08883855949054086,0.01
balance-scale.csv,0.2021405832447236,1.1702277631071238,130.20517269975068,0.07490040140879939,0.01
tae.csv,0.13741105271030257,2.9813535760319,33.708066416682854,0.017493618430659854,0.01
cassini.csv,0.43591309079850454,0.9237139627749972,988.042681850051,0.6395557917623784,0.02
pathbased.csv,0.041890921002232545,4.330448503498905,60.35443534331632,0.11844729302892097,0.01
iono.csv,-0.12603147502636403,6.096689987131083,6.998900945492267,0.02387477921919727,0.02
flame.csv,-0.016729262564392635,2.4323721890257777,35.20694099137388,0.06621482592234162,0.01
glass.csv,-0.06041818608166197,3.4224893343080343,15.761255053170125,0.07202080875442646,0.03
sizes2.csv,0.34339431863203584,1.233219676957716,484.7401647461641,0.44896067670614226,0.02
iris.csv,0.04219264158107737,3.4730099388383557,39.091514077681296,0.1312242042672263,0.01
engytime.csv,0.25661371846769915,1.308082201518821,1584.5194134480473,0.32841368606597715,0.88
elliptical_10_2.csv,0.2901652151930548,1.3262801261332107,233.83672769424072,0.13434985842002461,0.01
sonar.csv,-0.05198976395906748,3.2340750921973203,6.248245424234179,0.02139983758210117,0.02
jain.csv,0.11377290663698197,1.8650342185532964,135.08227857348007,0.050090445948163975,0.01
sizes4.csv,0.02810916098284068,6.879540013666785,211.5906304059203,0.0635619130497606,0.03
3-spiral.csv,-0.051776923973793,9.032099448160835,32.72902893430261,0.03169350280202839,0.01
compound.csv,0.20829821996886444,1.5417073389935874,217.77791065638436,0.3958715327415243,0.01
thy.csv,-0.15152996370893562,3.8126644261187246,8.178687393592236,0.04219093123259214,0.01
arrhythmia.csv,-0.019205130995201228,10.195895625992774,7.250425970825603,0.0017346518518287328,0.03
ecoli.csv,-0.05145063014495553,3.293739076755584,25.948108529362557,0.12971455261583745,0.02
